#
#
# US Geological Survey
# retrieved: 2020-04-01 08:14:23 EDT
# URL: https://nwis.waterdata.usgs.gov/ks/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in Kansas.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  drain_area_va   -- Drainage area
#
#
# query started 2020-04-01 08:14:23 EDT
#
# there are 240 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	drain_area_va
5s	15s	50s	16n	16n	1s	10s	8s
USGS	06814000	TURKEY C NR SENECA, KS	39.94777730	-96.10861490	M	NAD83	276
USGS	06827000	SF REPUBLICAN R NR CO-KS ST LINE, KS	39.67193827	-102.01351640	M	NAD83	1860
USGS	06844900	SF SAPPA C NR ACHILLES, KS	39.67694848	-100.72209300	M	NAD83	446
USGS	06845000	SAPPA C NR OBERLIN, KS	39.81306060	-100.53431220	M	NAD83	1086
USGS	06845110	SAPPA C NR LYLE, KS	40.00167260	-99.99290550	M	NAD83	1488
USGS	06846000	BEAVER C AT LUDELL, KS	39.84805785	-100.96154460	M	NAD83	1411
USGS	06846500	BEAVER C AT CEDAR BLUFFS, KS	39.98500557	-100.56014800	M	NAD83	1680
USGS	06847900	PRAIRIE DOG C AB KEITH SEBELIUS LAKE, KS	39.76972700	-100.10068750	M	NAD83	590
USGS	06848000	PRAIRIE DOG C AT NORTON, KS	39.81000548	-99.92206830	M	NAD83	684.00
USGS	06848500	PRAIRIE DOG C NR WOODRUFF, KS	39.97870430	-99.47865840	M	NAD83	1007
USGS	06853500	REPUBLICAN R NR HARDY, NE	39.99251300	-97.93254300	M	NAD83	22401
USGS	06853800	WHITE ROCK C NR BURR OAK, KS	39.89918000	-98.25032760	M	NAD83	227
USGS	06854000	WHITE ROCK C AT LOVEWELL, KS	39.88417866	-98.02254480	M	NAD83	345
USGS	06854500	REPUBLICAN R AT SCANDIA, KS	39.79873000	-97.79312660	M	NAD83	23560
USGS	06855850	BUFFALO C 4 MI E OF JAMESTOWN, KS	39.59278610	-97.78147780	S	NAD83	380.00
USGS	06856000	REPUBLICAN R AT CONCORDIA, KS	39.58861340	-97.65837300	M	NAD83	23560
USGS	06856600	REPUBLICAN R AT CLAY CENTER, KS	39.35555150	-97.12752030	M	NAD83	24542
USGS	06857100	REPUBLICAN R AT JUNCTION CITY, KS	39.04277580	-96.82945330	M	NAD83	24900
USGS	06860000	SMOKY HILL R AT ELKADER, KS	38.79473540	-100.85847960	M	NAD83	3555
USGS	06860900	HACKBERRY C NR TREGO CENTER, KS	38.84084465	-100.05873680	R	NAD83	616.00
USGS	06861000	SMOKY HILL R NR ARNOLD, KS	38.80778980	-100.02262430	M	NAD83	5220
USGS	06862700	SMOKY HILL R NR SCHOENCHEN, KS	38.71167927	-99.34704920	M	NAD83	5760
USGS	06862850	SMOKY HILL R BL SCHOENCHEN, KS	38.71223475	-99.29232500	M	NAD83	5810
USGS	06863000	SMOKY HILL R AT PFEIFER, KS	38.71473450	-99.15370860	M	NAD83	6033
USGS	06863420	BIG C NR ELLIS, KS	38.92333330	-99.65083330	S	NAD83	338.00
USGS	06863500	BIG C NR HAYS, KS	38.85223400	-99.31815890	M	NAD83	549
USGS	06864000	SMOKY HILL R NR RUSSELL, KS	38.77667810	-98.85480660	M	NAD83	6965.00
USGS	06864050	SMOKY HILL R NR BUNKER HILL, KS	38.79390014	-98.78119200	M	NAD83	7075
USGS	06864500	SMOKY HILL R AT ELLSWORTH, KS	38.72667589	-98.23366840	M	NAD83	7580
USGS	06865500	SMOKY HILL R NR LANGLEY, KS	38.61139679	-97.95282600	M	NAD83	7857
USGS	06866000	SMOKY HILL R AT LINDSBORG, KS	38.56380659	-97.66649470	M	NAD83	8110.00
